Linux 7.0.0-30-generic (minimax) 	09/06/26 	_x86_64_	(32 CPU)

19:12:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:12:21      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:21      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:21      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:21      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:21      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:21      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:21      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:12:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:12:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:12:22      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
